poll_id,poll_type,nb_people,start_date,end_date,folder,population
elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,all
elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,left
elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,macron
elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,absentionists
elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,farright
elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,all
elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,left
elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,macron
elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,absentionists
elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,farright
elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,all
elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,left
elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,macron
elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,absentionists
elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,farright
elabe_202503,pt2,1016,2025-03-04,2025-03-05,polls/elabe_202503,all
elabe_202503,pt2,1016,2025-03-04,2025-03-05,polls/elabe_202503,left
elabe_202503,pt2,1016,2025-03-04,2025-03-05,polls/elabe_202503,macron
elabe_202503,pt2,1016,2025-03-04,2025-03-05,polls/elabe_202503,absentionists
elabe_202503,pt2,1016,2025-03-04,2025-03-05,polls/elabe_202503,farright
elabe_202504,pt2,1000,2025-04-01,2025-04-02,polls/elabe_202504,all
elabe_202504,pt2,1000,2025-04-01,2025-04-02,polls/elabe_202504,left
elabe_202504,pt2,1000,2025-04-01,2025-04-02,polls/elabe_202504,macron
elabe_202504,pt2,1000,2025-04-01,2025-04-02,polls/elabe_202504,absentionists
elabe_202504,pt2,1000,2025-04-01,2025-04-02,polls/elabe_202504,farright
elabe_202505,pt2,1002,2025-04-29,2025-04-30,polls/elabe_202505,all
elabe_202505,pt2,1002,2025-04-29,2025-04-30,polls/elabe_202505,left
elabe_202505,pt2,1002,2025-04-29,2025-04-30,polls/elabe_202505,macron
elabe_202505,pt2,1002,2025-04-29,2025-04-30,polls/elabe_202505,absentionists
elabe_202505,pt2,1002,2025-04-29,2025-04-30,polls/elabe_202505,farright
ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all
ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all
ipsos_202502,pt1,1000,2025-02-12,2025-02-13,polls/ipsos_202502,all
ipsos_202501,pt1,1000,2025-01-08,2025-01-09,polls/ipsos_202501,all
ipsos_202411,pt1,1000,2024-11-06,2024-11-07,polls/ipsos_202411,all
ipsos_202410,pt1,1000,2024-10-09,2024-10-10,polls/ipsos_202410,all
ipsos_202409,pt1,1000,2024-09-11,2024-09-13,polls/ipsos_202409,all
elabe_202412,pt2,1000,2024-12-10,2024-12-11,polls/elabe_202412,all
elabe_202412,pt2,1000,2024-12-10,2024-12-11,polls/elabe_202412,left
elabe_202412,pt2,1000,2024-12-10,2024-12-11,polls/elabe_202412,macron
elabe_202412,pt2,1000,2024-12-10,2024-12-11,polls/elabe_202412,absentionists
elabe_202412,pt2,1000,2024-12-10,2024-12-11,polls/elabe_202412,farright
ipsos_202505,pt1,1000,2025-05-14,2025-05-16,polls/ipsos_202505,all
ipsos_202506,pt1,1003,2025-06-11,2025-06-13,polls/ipsos_202506,all
